แต่ละวัน	ควรสร้างสรรค์	สิ่งแปลกใหม่	เช่นปั่นไฟ	โดยใช้เท้า	ถีบจักรยาน	Each day we should create novel things such as making electricity by riding a bicycle rapidly.
พุทธรูป	หางนานา	บังตาใจ	คนส่วนใหญ่	จึงไม่เห็น	ถึงแก่นธรรม	Buddha's sculptures of various episodes can obstruct the view of most people not to see the quintessence of dharma.
เขาพอใจ	ในสิ่งที่	เขามีอยู่	ย่อมเป็นผู้	เป็นสุขแท้	แม้มักน้อย	He is satisfied with what he has. He is naturally a person with true bliss although content with little.
งานเลี้ยงใด	ไร้แบบอย่าง	สร้างสาระ	เป็นผัสสะ	เตือนไว้ว่า	อย่างเยี่ยงอย่าง	"If any party lacks a creative model, it can be a warning thing not suitable for imitating."
ทำสิ่งใด	ถ้าไม่รู้	จะเป็นภัย	สนองให้	เจียนบรรลัย	หรือม้วยมรณ์	It may be perilous if we don't know the things done. The response may be almost decease.
ได้มาง่าย	เสียไปง่าย	ได้เช่นกัน	ยิ่งยึดมั่น	การได้มา	ยิ่งพาทุกข์	"If things are easily acquired, they are easily lost. More attachment to acquisition leads to more affliction."
ถ้าสิ่งใด	สะกิดใจ	ให้ระแวง	อย่าหน่ายแหนง	ความระวัง	ไม่พลั้งแผลอ	If something forewarns us of bad things. Don't be tired of vigilance so as to avoid making a slip.
ถ้าชอบให้	โอกาสใคร	ให้ผลดี	โอกาสดี	มีตอบคืน	ให้ชื่นใจ	"If you like to give someone a chance, good produce is given. And good opportunities are paid back to you refreshingly."
ภัยใดใด	ใกล้และไกล	ยังไม่ถึง	เหตุนี้จึง	ควรป้องกัน	อย่างมั่นใจ	"If any near or distant peril doesn't come yet, we should confidently prevent it."
โลภมากมาย	ลาภยิ่งหาย	ง่ายนักแล	ผลยิ่งแย่	ถ้ายิ่งแส่	อยากกระหาย	Too much fortune forsakes the greedy easily. The consequence is worse if more thirst is provoked.
สุขอื่นใด	ไหนจะเทียบ	ความสงบ	และประสบ	ที่สะอาด	ปราศราคี	What happiness can be on the same par as tranquility with spotless salubrity.
หลายสังคม	บ่มละคร	สวมหน้ากาก	สนองอย่าง	กิเลสลาก	สู่มายา	Many societies ripen masquerade plays to reciprocate desires and passion to illusion.
พวกโรงสี	มีแต่กอบ	โกยกำไร	ชาวนาไร่	ชอกช้ำใจ	ถูกสูบเลือด	Rice mills keep taking a lot of profits. Farmers are mentally hurt because their blood is sucked.
วัดนานา	นำปฏิมา	มาขอทาน	พวกดักดาน	บริจาค	อยากกระหายบุญ	Various temples employ sculptures as beggary and those unfortunate ones donate money with craving for sacred deeds.
โลกงดงาม	ตามธรรมชาติ	สรรค์สร้างมา	คนชั่วช้า	เห็นแก่ตัว	มั่วทำลาย	The world is beautifully created by the nature but wicked and selfish people keep damaging it.
พวกกลลวง	กลยอกย้อน	ซับซ้อนกล	บ้างฉ้อฉล	กลยุยง	กลปิดบัง	"There are zigzagging, intricate, cheating, provoking and masked machinations."
พวกราชา	แย่งไข่วคว้า	ทรัพย์ครอบครอง	การปกครอง	ช่วยบ้านเมือง	เป็นเรื่องฉาก	Politicians improve their quest for treasures. Their ruling and helping the country is just a scene .
ปดคำเดียว	จริงพันคำ	ถูกทำลาย	คนทั้งหลาย	เล่าต่อไป	ไม่ศรัทธา	Even one thousand true words can be destroyed by one fib and people tell this from mouth to mouth with no faith.
ฉวยโอกาส	เป็นนิสัย	ให้ผลร้าย	คนมากมาย	ยิ่งเกลียดหน้า	ไม่มาเกื้อ	Habitual opportunism gives a bad consequence. Many people hate it and oppose it.
คนมีผล	สารพัด	สัตว์ใดเทียบ	ปัญญาเฉียบ	ใช้เปรียบดั่ง	อาวุธร้าย	What cunning animal can equal deceptive people ? Their shrewdness is advantageously used like a terrible weapon.
จินตนาการ	ต้องไม่ค้าน	กับเหตุผล	แต่หลายคน	จินตนา	พามืดมัว	Imagination must not be against reasons. But many imagine things obscurely.
เก่งและดี	คุณธรรม	สำนึกดี	ช่วยเสริมศรี	ให้บ้านเมือง	รุ่งเรืองรอง	"Those who have virtues, talent and good sensorium can support the prosperity of their country."
ธรรมจริงไหม	ให้ตรองดู	รู้แก่นใน	อาจแฝงภัย	กุธรรมไว้	ใช้หลอกกิน	Try to consider the core of dharma. It may hide dangers and be made up for deception.
วางเป้าหมาย	สิ่งใดใด	ในใจเกิด	เพื่อก่อเกิด	กำลังใจ	ให้มุ่งหน้า	Target things in your mind to create your own morale to go forwards.
ถ้าพายเรือ	คนละที	มีผลร้าย	ยากจะหมาย	สำเร็จได้	ด้วยสามัคคี	Those who work inconsistently find it hard to achieve success with unanimity.
จ่ายสิ่งใด	ควรหรือไม่	คิดให้ดี	จงตระหนี่	ไม่ตระหนี่	สิ่งที่ควร	Think about appropriate and inappropriate expenditures. Be stingy and generous with deserved things.
ไม่ประมาท	คนฉลาด	มักเตือนตน	เพื่อหลีกพ้น	การจนมุม	การพลาดท่า	"Clever persons often remind themselves not to be careless, avoid any mistake and being cornered."
ความประมาท	พบเกลื่อนกลาด	เหตุความตาย	ชีพมากมาย	ล้มจายเพราะ	ไม่ระวัง	Carelessness is found anywhere and causes death. Heedlessness can lead to many casualties.
รักใดใด	ไม่งามเท่า	รักประหยัด	รู้แบ่งจัด	ไม่ขัดกับ	คุณธรรม	Any love doesn't equal love of frugality which makes us know how to divide proportionately .
เห็นตีนงู	ไก่อ้างรู้	ลับใดใด	งูตอบไว	เห็นนมไก่	ด้วยเช่นกัน	Knowing each other's secret must be fast and make us keep pace with one another .
เปลี่ยนความคิด	และจิตใจ	ของเราก่อน	จึงสังวร	สอนให้เปลี่ยน	ชีวิตได้	"First we should change our concept and minds , which can instruct us to change our life ."
ไม่รู้พอ	ใจต้องรอ	แบกทุกข์หนัก	แทบกระอัก	ทำงานหนัก	สนองอยาก	Insatiability makes the heart wait for heavy sufferings and almost vomit blood due to hard work to reply desires .
ชายหญิงแท้	จิตทรามแย่	ก็มากมี	"แต๋ว,ทอม,ดี้"	หลายกรณี	ยังดีกว่า	Many true men and women have idiocy. But many hermaphrodites still have better minds.
พวกชอบถาม	เอาความรู้	ฉลาดกว่า	ด้อยปัญญา	ถ้าไม่เคย	ถามอะไร	Those who like to ask for knowledge are cleverer. Those who never do so have inferior intelligence .
สติดี	มีปัญญา	พาฟังเยี่ยม	รู้ทันเหลี่ยม	เล่ห์ใดใด	เมื่อใครสื่อ	Good sensibility and wisdom cause excellent listening and make us able to sense others' communicated tricks .
รักสิ่งใด	ในทางดี	มีผลคืน	สุขสดชื่น	สมใจเป็น	เช่นสิ่งรัก	Love of good ways gives a consequence of refreshing bliss and wish to be beloved .
สิ่งซ้ำซาก	มากเกินไป	ให้ความเบื่อ	มีแต่เหลือ	ความเจือจาง	ไม่สร้างสรรค์	Too many monotonous things give boredom and there is only diluted creativity left .
คู่ชีวี	หน้าตาดี	และมัดคม	ทรัพย์สะสม	ล้วนก่อภัย	ให้เจ้าของ	A good looking spouse is like a sharp knife. Collected treasures can cause a danger to their owners.
ชอบหลงคิด	ย่อมผิดหวัง	ในผลคืน	ฝันชื่นมื่น	กลับขมขี่น	เพราะคิดผิด	Those who misthink are likely to be disappointed in a consequence. They cheerfully dream but are embittered by misconception .
คนสอนยาก	ยากดีได้	ในภายหน้า	ไม่รักษา	สมบัติตน	ยิ่งจนเร็ว	Those who are difficult to be taught are less likely to be well off in the future. These not looking after their properties will be quickly poor . 
มีแต่ผู้	ชอบดูแคลน	พวกอวดรู้	พวกกูรู	ผู้ถ่อมตน	คนชนชื่น	Many only look down on pedants and people admire gurus who are modest.
ธรรมใดใด	ในโลกนี้	ย่อมมีค่า	แต่ทว่า	อนัตตา	ด้วยเช่นกัน	"Any virtue in the world is valuable. However , being soulless self is too ."
ใกล้หรือไกล	ใจก็ถึง	แก่นธรรมได้	อย่างมงาย	กลายเป็นเหยื่อ	เนื้องอกธรรม	"No matter how far or near , the heart can reach the core of dharma. Don't be blind minded to be victimized by a tumor of dharma ."
พวกฟุ่มเฟือย	เรื่อยเปื่อยใช้	ย่อมไร้ค่า	ไม่นำมา	แบบอย่างดี	ที่น่าตาม	"Spending money lavishly , continuously and aimlessly is valueless and cannot be exemplary ."
เรื่องไม่เป็นเรื่อง	เปลืองเวลา	ถ้าใส่ใจ	เอาเรื่องใหญ่	ให้สาระ	จะดีกว่า	It's a waste of time to be interested in nonsense. It's better to take a big and essential matter .
ได้มาไว	อย่าไปไว	ใครประมาท	ถ้าฉลาด	เมื่อได้ไว	เก็บไว้ก่อน	"Careless ones quickly get and lose things if they are wise , they try to keep what they quickly acquire ."
คนฉลาด	ไม่ประมาท	ทุกวิธี	ชอบถ้วนถี่	เพื่อหลีกหนี	สิ่งเลวร้าย	A wise person is never heedless with every means but likes to be scrupulous to avoid terrible things .
ได้อะไร	ใจเจ็บปวด	ตอบแทนให้	และส่วนใหญ่	ทุกข์ปานใด	ก่อนได้มา	Some acquire things with a painful return and most are in pain before getting things .
พุทธองค์	ทรงสอนว่า	อย่าประมาท	แม้ฉลาด	ไม่เฉลียว	เดี๋ยวก็พัง	"Buddha teaches us not to be negligent. Although clever, some without an intuition will tumble down ."
ชนะที่หนึ่ง	ไม่น่าทึ่ง	เสมอไป	ประทับใจ	ในผู้แพ้	อาจมีได้	A top winner is not always amazing. It's possible that a loser can give impression .
ทุกชีวา	ธรรมดา	ในความจริง	กิเลสยิ่ง	พลิกชีวิต	ผิดธรรมดา	Every life is natural in reality. But sensuality turns over a life to be unusual.
เพชรมากอง	ไก่ไม่มอง	แต่อย่างใด	ข้าวเปลือกให้	ไก่กระโดด	รุมแย่งกัน	Fowls never look at the diamonds heaped in front of them but jump to eat only the offered paddies .
กาลเวลา	มาช่วยบ่ม	ภูมิปัญญา	ล้วนเกิดมา	หาได้เก่ง	ทุกอย่างไม่	Time comes to ripen intelligence. All are born not to be good at everything .
แยกได้ดี	สิ่งใดมี	โทษหรือคุณ	จะเกื้อหนุน	สิ่งที่ดี	มีประโยชน์	Distinguish things to see their merits and harm. Support benefits that give you advantages .
กายใดใด	ทรัพย์ใดใด	ไร้เจ้าของ	อย่าหวังปอง	ครองสิ่งใด	ได้แท้จริง	Any physiques and possessions are without true owners. Don't aim to possess anything genuinely .
แม้หลายหัว	ในกลุ่มใด	อาจไร้ผล	เพียงหนึ่งคน	อาจแยบยล	คิดดีกว่า	Many heads in one group may be fruitless. But one person may have a better or more ingenious idea .
เมื่อหมาเห่า	เราควรรู้	จงระวัง	แต่หลายครั้ง	ลมพัดมา	หมาเห่า	"We should know and beware when a dog barks. But when the wind blows many times, it also bays."
ถ้าทำใจ	ให้ยึดมั่น	นั่นยิ่งทุกข์	ใจย่อมสุข	ด้วยปัญญา	พาปล่อยวาง	"If you make your heart take hold of things , you have more affliction. You can be mentally happy by releasing with wisdom ."
รูปลักษณ์ดี	ดีกน้าตา	อย่าพึ่งเชื่อ	อาจเป็นเหยื่อ	เพียงเพื่อเห็น	ฐานะดี	Don't believe in good looks and features yet. You may be a victim when seeing only a good status .
ผิดซ้ำใด	อยู่ร่ำไป	ยังไม่สาย	คิดว่าคล้าย	ได้เริ่มเรียน	การทดลอง	It's not late to make a mistake repeatedly. Think that it is like starting to learn a try .
สี่เท้าพลาด	นักปราชญ์พลั้ง	ยังมากมี	เก่งอวดดี	ย่อมมีพลาก	ถึงฆาตง่าย	A quadruped may miss its footing thus a sage may err. Many cases are like this. Imprudence may cause a deadly mistake .
มีถมไป	พวกมีใจ	ทุกข์กว่าเรา	จงคอยเฝ้า	เอาเหตุทุกข์	ไปฝังทิ้ง	Those who have more miseries than we are prevalent. Keep taking away and burying your sufferings .
ความสุขใจ	อาจไม่อยู่	ที่สำเร็จ	กลเม็ด	และปัญญา	พาสุขได้	Mental happiness may not depend on any success but on joyful ingenious devices and intelligence .
คนมากมาย	กลายเป็นเหยื่อ	ของพวกวัด	ฉากถูกจัด	ให้หลงใหล	ไปทำบุญ	Many become victims of temples and many scenes are made for people's infatuation with making merits .
น้อยกำไร	ใช้จ่ายมาก	วิบากนัก	ลงทุนหนัก	อย่าประมาท	อาจวอดได้	"If you have few profits but spend too much money, you may have adversity. Much careless investment may result in ruin ."
ชอบประมาท	อาจเหมือนคน	ตายแล้วได้	เพราะความตาย	ได้อยู่ชิด	ติดตามแล้ว	Habitual incaution may make you like a dead person owing to decease already staying nearby .
มากตัณหา	พาหนักใจ	ให้หอบหิ้ว	ยิ่งโหยหิว	สิ่งกิเลส	อาเพศตาม	Those with much lust are heavy-hearted to carry it. They have to be fatigue with hunger for passion with bad consequence .
ทำสิ่งใด	ไม่เป็นธรรม	นำผลร้าย	เพราะทำลาย	แบบอย่างดี	ที่ชี้นำ	Doing things with injustice gives a bad result because it destroys an exemplary pattern .
เมื่อเหนื่อยหนัก	ควรพักผ่อน	ก่อนมุ่งหน้า	แต่ทว่า	อย่าถอยหลัง	ให้สูญเปล่า	"When very exhausted, take a rest but don't step backwards for wastefulness"
ทุกชีวิน	สิ้นสุดไป	ในตัวมัน	ทุกชีวัน	ผันไปสู่	สุญญตา	Every life expires in themselves and must shift to emptiness.
ถ้าทำคุณ	บูชาโทษ	โปรดอย่าทำ	เจ็บแล้วจำ	ทำดีให้	ไยกลับร้าย	"Don't do good deeds that give a bad consequence. If painful, you should remember why doing good becomes bad."
บ้างแสร้งว่า	ตนกล้าหาญ	ไม่กลัวผี	ไม่วิ่งหนี	กลัวว่ามี	คนดูถูก	Some pretend that they are brave and don't fear ghosts. They don't run away because they fear being despised.
ผู้ฉลาด	ไม่พลาดหลง	กลอุบาย	ไม่หลงพ่าย	คำเยินยอ	ล่อบางสิ่ง	A wise person doesn't believe in trickery and never has infatuation with any deceptive flattery.
ทุกข์ใดใด	รวมทำใจ	ไม่ไกลตัว	ตัดต้นขั้ว	โดยทำใจ	ให้ปล่อยวาง	Any suffering is collected in the heart. Destroy the cause by making your mind released.
สัมภาระ	จะเบาลง	ยามแบกไป	ถ้าทำใจ	ให้สนุก	สุขกับมัน	Burdens will become lighter if you make your heart enjoy with them.
หมาขี้กลัว	ชอบปล่อยตัว	เห่าเพราะขลาด	หมาฉลาด	ดุร้ายจริง	นิ่งไม่เห่า	A timid dog is abandoned and likes barking due to cowardice. A clever one is really ferocious but doesn't bark.
ไร้ความตาย	เป็นผลร้าย	ต่อโลกา	ล้นประชา	แย่งไขว่คว้า	หาสิ่งกิน	Being without death will badly affect the world. The overpopulation will cause scramble for consumption.
ทุกข์ใดใด	ไม่ต่างจาก	เงาตามติด	เพราะคิดผิด	อยู่ที่จิต	เพียงอย่างเดียว	Any affliction is like a following shadow because misconception is entirely derived from only the mind.
ชนปัญญา	รู้ทันว่า	พาลมีกล	ใครฉ้อฉล	รู้ทันได้	ง่ายเช่นกัน	Intellectuals can know that rascals are cunning and who are defrauders.
พวกหมอดู	หาได้ดู	รู้สัจจา	ดูชะตา	ตามมายา	ที่ครอบงำ	A fortune teller doesn't look at veracity. He considers a fate according to the domination of illusion.
ละครไทย	ให้สิ่งดี	และสิ่งร้าย	เด็กมากมาย	ได้เลียนแบบ	ความรุนแรง	A Thai play can give good and bad things. Many children like to imitate violence.
ทุกปัญหา	ท้าให้ใช้	สติแก้	บทเรียนแท้	สอนฝึกแก้	ด้วยปัญญา	Every issue challenges your sensibility to solve them. True lessons teach how to use wisdom to solve a problem.
แม้หยุดพัก	มักทำให้	งานอาจช้า	แต่หมดค่า	ถ้าถอยเพราะ	กลัวชีวิต	Although taking a break may delay work but moving backwards owing to fear of life is valueless.
เรื่องเล็กน้อย	ไม่คอยแล	ผลแย่ตาม	อาจสร้างความ	เสียหายได้	ในภายหน้า	Small overlooked matters give bad consequences with possible damage in the future.
ความรวยร่ำ	ทำมาจาก	ทุกหยาดเหงื่อ	ย่อมหนุนเกื้อ	ความภูมิใจ	ให้สู้ต่อ	Wealth from every sweat drop is likely to support pride in going on fighting.
ความประมาท	อาจทำให้	ไม่ชอบคิด	เพราะเสพคิด	ความมักง่าย	สบายก่อน	Imprudence may make us like to be thoughtless because of addiction to heedlessness and first comfort.
ไม่ประมาท	ย่อมไม่พลาด	ความสำเร็จ	เป็นทีเด็ด	เคล็ดลับช่วย	ความสมหวัง	Vigilance helps to reach great success and it is a good strategy or secret for fulfiling our hopes.
พวกเกียจคร้าน	เหมือนคนตาย	น่าหน่ายแหนง	พวกออมแรง	นั่งนอนกิน	สิ้นค่าคน	Indolent persons are boring like dead ones. Those who economize their strength are idle and become valueless.
อย่าคอยผลาญ	พลังงาน	อย่างไร้ค่า	ทั่วโลกา	ยิ่งหายาก	มากทุกที	Don't keep wasting energies worthlessly. It's more difficult to find fuels around the world.
ค่าใดใด	ไหนจะเทียบ	เท่าปัญญา	ที่นำมา	พัฒนา	ช่วยมวลชน	What worth can equal that of intelligence? It is used to help and develop the masses.
แสวงหา	สิ่งมีค่า	ยกจิตใจ	ดีกว่าไม่	พบสิ่งใก	ในชีวา	Looking for valuable things to uplift the mind is better than searching for nothing in life.
ติเพื่อก่อ	พอจะสร้าง	สำนึกดี	เตือนหวังดี	ให้ศิษย์มี	ตาเห็นธรรม	To make a constructive criticism is to create good perception. Good wishes to warn students to see dharma.
ทุกชีวี	มีเผชิญ	การเปลี่ยนแปร	ตามกระแส	แปรปรวนสู้	สุญญตา	Every life faces variance following the current of uncertainty to bareness.
ชนปัญญา	ไม่มาโต้	ตอบกับพาล	ถ้าประสาน	การเจรจา	พาคุ้มไม่	Knowledgeable persons don't answer back and forth with ruffians. Joining their talks is not worthwhile.
ปรุงแต่งจิต	ติดมายา	นานาได้	แต่อย่าหมาย	ได้ปลดโซ่	ที่คล้องคอ	Dressing up the mind is addicted to a variety of illusion and don't expect to remove the chain around the neck.
ไปยอดเขา	เราป่ายปีน	ไปถึงได้	เหมือนเป้าหมาย	การศึกษา	หาความรู้	We can reach the tops of the mountain like attaining the target of seeking knowledge.
อยากให้ใคร	พูดไพเราะ	เสนาะหู	เราควรอู้	ฟังดูเพราะ	กับเขาก่อน	"If you want others to speak tunefully, you should speak sonorously with them first."
ทรัพย์นานา	รักษาง่าย	กว่านิสัย	กก่อภัย	ให้พ่อแม่	ก็มากมี	Maintaining treasures is easier than watching over habits. Many children cause dangers to their parents.
อุเบกขา	ต่อคำนินทา	คำสรรเสริญ	แต่อย่าเมิน	แก่นธรรมา	พากระจ่าง	Have indifference to gossips and praises but don't ignore the gist of dharma leading to illumination.
แก้อดีต	ด้วยปัญญา	หาได้ไม่	เตรียมแห้ไข	สิ่งใดผิด	ในวันหน้า	Wisdom cannot remedy the past. We should be ready to correct wrong things in the future.
พนาอยู่	คู่โลกไป	ถ้าไร้คน	แต่ผู้คน	มีรอดพ้น	ถ้าหมดป่า	Forests can stay with the world forever it there are no people. But humans cannot survive if there are no woods.
จงดับไฟ	ทุกข์ที่ใจ	ล้วนต้นเหตุ	ทุกข์อาเพศ	ย่อมดับไป	ด้วยใจเรา	Put out the fire or misery in our hearts and their causes. Abnormal affliction can be removed by our minds.
ฝึกฝนไว้	สร้างนิสัย	ชอบขบขัน	ช่วยทอนบั่น	โรคพิษภัย	ไม่แก่เร็ว	Practise and create mirthful habits that help reduce diseases and quick senility.
อุปสรรค	และปัญหา	ยาวิเศษ	เป็นต้นเหตุ	ชนะตน	ดั้นด้นแก้	Obstacles and problems are like miracle drugs that can cause how to overcome ourselves through problem solutions.
พวกขี้เกียจ	เบียดทั้งตน	เบียดทั้งชาติ	ชาติยิ่งขาด	ฝีมือดี	ที่สร้างสรรค์	Sluggish people harry themselves and their country which lacks more skillful and creative persons.
โลกมายา	มาครอบงำ	ได้ทุกเมื่อ	ทุกข์น่าเบื่อ	แต่พวกเหยื่อ	ยิ้มยินยอม	The world of illusion can dominate us any time. Miseries are boring but the victims smile to welcome them.
เสียเวลา	ถ้ายึดติด	อดีตกาล	อย่าฟุ้งซ่าน	เรื่องเหตุการณ์	อนาคต	It's a waste of time to be attached to the past and don't be full of fancies about things in the future.
ติดความหลัง	ระวังเถิด	มักท้อใจ	อย่าฝักใฝ่	หวังเกินไป	สิ่งภายหน้า	Beware addiction to the past leading to disheartenment. Don't be absorbed in too much expectation of the future.
อนัตตา	องค์พุทธา	สอนทำไม	เพื่อใครใคร	ใจดับความ	เห็นแก่ตัว	Why does Buddha teach soullessness? He wants humans to extinguish their selfishness.
ผลงานดี	มีแต่ก่อ	ความสุขศรี	เป็นแหล่งที่	มีอยู่กิน	สิ้นทุกขา	Good results of work create pleasure and they are the source of being well-off.
ที่ร้อนรน	ที่สับสน	พ้นทุกข์ได้	โดยมุ่งหมาย	ได้เสร็จงาน	ด้วยจิตว่าง	Those who are anxious and confused can survive sufferings by aiming at finishing work with their empty minds.
ร้องไห้ง่าย	ยิ่งกลายเป็น	คนก่อนไหว	ฟันฝ่าไป	ในอุปสรรค์	มันล้มเหลว	Crying easily makes persons become sensitive and breaking through obstructions fail. 
บ่าวคือกาย	บังคับได้	โดยที่ใจ	โรคใดใด	หมดโดยใจ	ชนะกาย	A physique is like a servant controlled by the heart. Any disease can be removed by the mind that overcomes the body.
ทำอะไร	ใช้ปัญญา	ก่อนความเชื่อ	อย่าเป็นเหยื่อ	สิ่งมายา	พาเพ้อฝัน	Use wisdom first not belief to do things. Don't be enslaved by illusion that leads to nonsensical dreams.
ดูวันนี้	ท่านปรีดา	อย่าประมาท	พรุ่งนี้อาจ	ต้องปราชัย	พ่ายภัยตน	You look joyful today. Don't be heedless. Tomorrow you may be defeated by yourself.
หนทางมี	ที่จะสร้าง	คนาคต	อย่าทำหมด	เทคนิคดี	ที่ใช้สร้าง	We have courses to build the future. Don't be without any good techniques in future construction.
ใครจะพ้น	คนสรรเสริญ	และนินทา	แต่ดีกว่า	ถ้าเห็นสัจ	ของตนเอง	Who can survive praises and gossips? But it's better to see veracity about oneself.
ไม่สะพรั่ง	ตั้งต้นอยู่	บนดินดี	เราสุขศรี	เพราะเมืองดี	ให้อยู่ด้วย	Trees are plentiful on good soils. We are blissful because good cities accommodate us.
บอดเพราะรัก	มักร้ายกว่า	บอดเพราะเขลา	เพราะมัวเมา	เผาตนด้วย	ไฟโลกีย์	Blindness by love is worse than that by stupidity because lovers are infatuated with a lust fire.
ดูใกล้ก่อนไกล	ดูในก่อนนอก	บอกตนก่อน	ช่วยสังวรณ์	เราตื่นก่อน	สายเกินไป	We should tell ourselves to be circumspect first. We should teach ourselves to awake before it is too late.
ความมานะ	จะพาสู่	ความสำเร็จ	โดยเผด็จ	ความเกียจคร้าน	ทุกด้านก่อน	We should tell ourselves to be circumspect first and get up before it's too late.
ตกหลุมรัก	ช่วยตระหนัก	เป็นเพราะใคร	เพราะพ่ายใจ	ภัยติดปม	อารมณ์เบื้องต่ำ	Who makes you fall in love with someone? You are defeated by yourself and trapped by base emotions.
แปลกเท่านั้น	ดันคิดว่า	ปาฏิหาริย์	ความฟุ้งซ่าน	ปรุงแต่ใจ	ให้เพ้อฝัน	It's only a peculiarity. But they are dogmatic to think it's a miracle. Confusion and dressing up the mind can cause a thoughtless dream.
ความไม่แน่	ล้วนแปรผัน	ทุกชีวิต	อยู่ที่จิต	พิชิตทุกข์	ด้วยปัญญา	Uncertainty and variance affect every life. It's up to the heart to overcome miseries with wisdom.
ทำอะไร	ต่างจากใคร	ไม่เสียหาย	ถ้ามิได้	ส่งผลร้าย	ต่อผู้อื่น	It's not a damage to do things different from others if they don't give bad consequences to them.
หอมมาลี	มีแต่ดอก	ไม่มีผล	ก็เหมือนคน	ดีแต่เอ่ย	ไม่เคยทำ	Some fragrant flowers have only blossoms but no fruit like some types of people good at only speaking but without performance.
อุปสรรค	ฝึกจิตให้	ไม่สะท้าน	ใช้แรงงาน	สมานกาย	ให้เข้มแข็ง	Hindrances train the mind not to tremble with fear. Use your body energy to have more strength.
แข่งยึดมั่น	ถือมั่นนั้น	ได้หรือไร	กายใครใคร	ไม่อาจยึด	มั่นได้เลย	Can you compete to adhere to anything? Any physique cannot be attached to at all.
เตรียมล่วงหน้า	อนาคต	ให้พร้อมได้	แต่อย่าหมาย	ความกดดัน	บีบคั้นใจ	You can have readiness for the future but don't try to have pressure or distress.
ผึ้งมีค่า	ช่วยพฤกษา	แพร่พันธุ์ไว้	ชนกลุ่มใด	ไม่ทำตัว	มีค่าเท่า	Bees are valuable to help propagate plants and trees. Which community doesn't behave themselves like bees?
ความขี้เกียจ	เบียดทุกสิ่ง	ยิ่งทุกข์ยาก	หมดวิบาก	หากมุ่งใช้	ความอุตส่าห์	Idleness troubles everything and causes more hardships. Aim at using industry to remove adversity.
บางมาลี	มีกลิ่นหอม	มีมากผล	ก็เหมือนคน	เลิศวจี	ดีผลงาน	"Some types of flowers have fragrance and a lot of fruits. Similarly, some people have eloquence and good results of work."
รักใครใคร	ต้องเตรียมใจ	ความผิดหวัง	ยิ่งทุกขัง	ถ้าคอยหวัง	รักตอบแทน	"If you love anyone, be ready to be disappointed. Expectation of returned love causes more affliction."
จากเยาว์วัย	ไปวัยกลาง	วัยชรา	หลายทุกขา	เกิดเพราะกาย	ได้หักหลัง	"From childhood, the middle age to the old age, many diseases can happen because the body betrays us."
ปรุงแต่งใจ	มากเท่าใด	ยิ่งมืดมัว	ยิ่งลืมตัว	มัวเมาโลก	มายาลวง	Compounding the mind can lead to darkness and we may forget ourselves because of fascination with the illusionary world.
พูดคำยอ	ก่อให้เกิด	มิตรใหม่ได้	ศัตรูร้าย	เกิดได้เพราะ	พูดความจริง	Flattery can bring about new friends but telling the truth may receive bad hostility.
ครูสอนไว้	จงมั่นใจ	ให้เกิดผล	อย่าเป็นคน	ไม่ต้นทำ	ตามคำสอน	The teacher teaches that confidence can be fruitful. Don't be a person who doesn't follow any teachings.
ชื่อเสียงดี	มีค่ากว่า	เงินตราใด	เพราะใครใคร	ให้ศรัทธา	มานับถือ	A good reputation is worthier than money because people have faith and respect for you.
ดูหน้าตา	น่ารังเกียจ	นักคางคก	พวกหมักหมก	นิสัยร้าย	ย่อมคล้ายกัน	Toads have very ugly looks and those who accumulate bad habits are likewise
ปัจจุบัน	ท่านรู้มาก	กว่าโบราณ	เมื่อเนิ่นนาน	กาลภายหน้า	กลัวรู้น้อย	At present you know more than ancient people but with the distant future you know little.
ควรจดจำ	คำสอนที่	ครูชี้ให้	ควรใส่ใจ	ปฏิบัติตาม	ด้วยความเพียร	Remember instructions given by the teacher. Be attentive to and carry them out through endeavor.
ในที่ลับ	เหมาะสำหรับ	ติเตือนมิตร	คำวิจิตร	ชมมิตรใช้	ในที่เผย	Blaming and warning friends should be done in a place of privacy. Commending friends with beautiful words can be done in front of others.
ยามันขม	ดื่มนมก่อน	ย่อมดีกว่า	ถ้าติดยา	ยิ่งพาสู่	นรกเร็ว	"Drugs are bitter, so it's better to drink milk first Drug addiction can lead to the hell quickly"
ชนะใจ	ชนะกาย	ได้อย่างไร	กายและใจ	ต้องไม่มี	ความประมาท	How can you overcome your heart and physique? By having no heedlessness at all.
แม้พยายาม	อาจให้ความ	ล้มเหลวได้	ถ้าคาดหมาย	สูงเกินนัก	มักตกเจ็บ	"Although with an attempt, some may have failure. Too high expectation causes painful fall"
เพื่อนไม่ดี	เพื่อนที่เขลา	เราห่างไว้	เลือกทำใจ	ให้เดินทาง	อย่างลำพัง	We should keep away from bad and foolish companions. Make yourself choose to travel alone.
อย่ามองแต่	เรื่องของตน	เพียงคนเดียว	จงแลเหลียว	ปันจิตให้	ส่วนใหญ่บ้าง	Don't consider only your personal matters. Look after and give some spirit to the majority.
ทำใจว่าง	อย่างองค์พุทธ	ทรงสอนไว้	แต่ในใจ	ให้คงเลิศ	สติปัญญา	Make your heart free from any preserved desires but keep excellent sensibility and wisdom.
