แต่ละวัน,ควรสร้างสรรค์,สิ่งแปลกใหม่,เช่นปั่นไฟ,โดยใช้เท้า,ถีบจักรยาน
รักถึงท่าน,ความรักนั้น,กลับถึงตน,อย่าเมามัว,รักตัวเอง,เมินใครใคร
ทั้งนรก,และสวรรค์,นั้นมิไกล,ทุกสิ่งไป,รวมที่ใจ,ของเราเอง
หลายพ่อแม่,ยายแก่เฒ่า,ทุกข์เศร้าแด,ลูกแท้แท้,ไม่ดูแล,ไม่เลี้ยงดู
พวกผู้ดี,ใช้วจี,นุ่มนวลชัด,คำซื่อสัตย์,ไม่มีดัด,จริตใด
การนอบน้อม,ถ่อมตนได้,ความหมายดี,มุ่งหมายที่,จะเสาะหา,ปัญญาเพิ่ม
การเรียนรู้,ไม่พาสู่,จุดจบได้,เพิ่มมากมาย,แหล่งมุ่งหมาย,ได้ความรุ้
ยิ่งพิโรธ,อาจเป็นโทษ,คืนกลับมา,เย็นดีกว่า,เพราะโกรธา,สร้างศัตรู
บางชนา,มาเสียดาย,อาจเสียใจ,เมื่อเยาว์วัย,ไม่ใส่ใจ,การเล่าเรียน
รักใคร่กัน,ปันสิ่งดี,ที่ให้กัน,แต่ค่านั้น,ไม่เทียบทัน,มิตรภาพ
ละครดี,ไม่มีการ,เกริ่นเกินไป,ควรสอนใจ,ให้บทเรียน,แก่ผู้ชม
ผู้ประเสริฐ,เกิดมารู้,ชอบชั่วดี,ใจสุขศรี,สำนึกดี,เลิศปัญญา
ไร้ชะตา,มาลิขิต,ความยากจน,จงอดทน,เพิ่มรายได้,ใช้จ่ายน้อย
ความละโมบ,โลภมากเปลี่ยน,ผู้คนได้,กลับชั่วร้าย,ภายในหนึ่ง,วินาที
ต่อหน้าไหว้,ได้หลอกกลับ,เมื่อลับหลัง,ถึงระวัง,อย่าหวังคบ,คนพวกนี้
ใช้ไม่ซีก,งัดไม้ซุง,จรุงปัญหา,ช้ำอุรา,แก้ปัญหา,พาบานปลาย
วิชาใด,ใช้ไม่เหมาะ,กับกาละ,ผิดจังหวะ,วิชานั้น,พลันตกอับ
เด็ดเดี่ยวใจ,ใช้ชำนะ,หลายสิ่งได้,และอย่าพ่าย,ภัยของตน,เมื่อย่นย่อ
ทุกโลกา,สิ้นสุดไป,ในความว่าง,คิดแตกต่าง,จงใจกว้าง,ยอมรับได้
เสน่ห์นั้น,ท่านมีได้,ถ้าหุ่นดี,เป็นผู้ที่,ชนะใจ,ภัยตะกละ
ทำงานใด,ด้วยใจรัก,และผ่อนคลาย,ย่อมสบาย,ได้ชนะ,ความเหนื่อยาก
ทิ้งความดี,ไม่มีเหลือ,ในใจตน,กลายเป็นคน,มีมารร้าย,ร่วมกายเดียว
ถ้านิสัย,ม่าสูงกว่า,พวกสัตว์ได้,อย่างมุ่งหมาย,ได้ยกตน,เหนือกว่าสัตว์
ถ้าผู้นำ,คอยใช้ธรรม,มากำกับ,ร่วมกองทัพ,นับวันยิ่ง,พาชาติรุ่ง
ความว่องไว,เป็นหัวใจ,ธุรกิจ,แข่งการคิด,ผลิตภัณฑ์,เช่นกันนา
ไม่มีใคร,แก่เกินเรียน,เพียรศึกษา,แสวงหา,ยิ่งช่วยพา,ปัญญาเลิศ
ใต้สุรีย์,ที่เจิดจ้า,นภากาศ,แต่ประหลาด,คนส่วนใหญ่,ใจมืดมน
หน้าซื่อใส,แต่ในใจ,ภัยอาจมี,หวานวจี,อาจมีพิษ,ปลิดชีพได้
ทำเหมือนลิ้น,ดิ้นไปมา,ในปากงู,ปลอดภัยอยู่,คู่พิษภัย,ที่ชิดเรา
พูดถึงใคร,ในทางดี,ผลดีคืน,คนอื่นอื่น,ย่อมบอกเล่า,ว่าเราดี
ผู้วายไป,ใครต่อใคร,ร้องครวญคร่ำ,ไม่อาจนำ,ประโยชน์ใด,ให้ผู้ตาย
ทนหิวไว้,ไม่กินมาก,ค่อยหากิน,สร้างหนี้สิน,ทับถมไว้,ไร้ค่าคน
ทุกความจริง,ย่อมเป็นสิ่ง,ควรคบหา,เพราะสัจจา,เปิดหูตา,เห็นโลกจริง
ความเจ็บปวด,สอนเราได้,คล้ายเป็นครู,ให้เรารู้,รักษาได้,ทั้งกายใจ
วิญญาณผี,มีในความ,คิดผู้เชื่อ,แต่ไม่เหลือ,อยู่ในใจ,ผู้ไม่สน
ชอบนิ่งเฉย,โดยนิสัย,ภัยอาจมี,เงียบท่าที,อาจมีกรรม,ชั่วเบื้องหลัง
ทนายความ,เหมือนล้อวิ่ง,ยิ่งเร็วไหล,บ้างว่องไว,ใช้คารม,กลมเก่งกลิ้ง
พวกชรา,กายาเหี่ยว,ย่นมากมาย,แต่บางราย,กลายเป็นหนุ่ม,ที่ตัณหา
สิ่งทำไป,ช่วยใครใคร,ตัดสินเรา,จงมุ่งเอา,สิ่งจะทำ,นำตัดสิน
เห็นแก่ตัว,ชอบเมามัว,ผลประโยชน์,ย่อมเป็นโทษ,ต่อส่วนใหญ่,ไร้ค่าคน
ถ้ากินน้อย,ย่อมตายยาก,มากจริงแท้,ตายเร็วแน่,ถ้ากินมาก,อยากไม่พอ
เอาชนะ,ความรักได้,ถ้าหมายให้,และอย่าใคร่,ในการร้อง,ขอความรัก
คนต่ำค่า,ชอบมุสา,บ้างหลอกตน,ชั่วฉ้อฉล,ไม่แก้ไข,ไม่สารภาพ
ฟังแค่หู,อาจรู้น้อย,สิ่งใดใด,ฟังด้วยใจ,ใช้สมอง,ร่วมฟังด้วย
ราชาดี,มีเมตตา,มาปกครอง,ชาติทั้งผอง,ย่อมเรืองรอง,ย่อมสุขศรี
ทำสิ่งดี,ปีนี้ไว้,ใช้ปีหน้า,เพิ่มคุณค่า,ได้ทุกปี,ดีที่สุด
เปิดปัญญา,มามองตน,เองไม่ได้,อย่ามุ่งหมาย,ได้ความเลิศ,วิชาจริง
เดินหมากรุก,มีทุกข์สุข,เหมือนชีวา,ก่อนเดินหน้า,ใช้ปัญญา,ร่วมความคิด
ความละโมบ,ของมนุษย์,สุดยั้งได้,รุกทำลาย,โลกเรื่อยไป,ใกล้วิบัติ
หญิงเป็นทาส,เพื่อให้ชาย,ได้โซ่คล้อง,ใจทั้งสอง,หรือจะปอง,อิสรา
มิตรใดเล่า,ติดตามเรา,ทุกแหล่งหล้า,ทุกเวลา,มาปลอบเรา,เข้าโลงด้วย
เพื่อนเก่าเก่า,ที่เราคบ,ด้วยเพราะดี,ส่งวจี,มีติดต่อ,พวกเขาบ้าง
ความอยากมี,อยากใดใด,ไม่ประหลาด,มีดื่นดาษ,ผู้มีใจ,ใฝ่กิเลส
ควรช้าไว้,ควรรีบไว,ในสิ่งควร,ควรทบทวน,ถ้ากลับกัน,พลันเสียหาย
ไฟความอยาก,ยิ่งลามไป,ภัยยิ่งมา,ยิ่งนำพา,ทุกข์นานา,สู่ผู้โลภ
พวกใจคด,กบฏธรรม,นำภัยร้าย,มักชอบป้าย,มีใส่ร้าย,โทษผู้อื่น
ลิ้นคล่องมาก,หากตรวจดู,เก่งมุสา,น้อยวาจา,คล่องปัญญา,คือพวกปราชญ์
รักเรื่องเรียน,ดีกว่าเพียร,เรียนเรื่องรัก,อย่าจมปลัก,คิดกับดัก,ปมกามา
พวกผู้รู้,คือผู้ตื่น,ทางปัญญา,ใจกายา,ไม่พลาดท่า,พาประมาท
ชนปัญญา,หาได้คบ,พวกใจคด,พวกที่หมด,สหายดี,ในที่สุด
กตัญญู,ย่อมพาสู่,ความเจริญ,ช่วยพาเดิน,เพลิดเพลินสู่,โลกสูงกว่า
แพร่หลานที่,พุทธยิ่งมี,ปรุงบิดเบือน,ยิ่งเลอะเลือน,จากแก่นธรรม,พุทธนำสอน
ชอบโกหก,เป็นนิสัย,เป็นภัยนัก,พวกที่รัก,สัตย์วาจา,พากันเกลียด
ถ้าเลี้ยงหมา,อย่าทำลาย,สิ่งแวดล้อม,ควรถนอม,เพื่อนบ้านไว้,ไม่เกลียดกัน
เพียรวันนี้,มีผลดี,ในวันหน้า,ช่วยนำพา,ความมั่นใจ,ให้ผลพวง
มัตรทิ้งไป,ในยามยาก,มิใช่เพื่อน,จิตควรเตือน,เพื่อนแบบนี้,มีพิษภัย
เศษมนุษย์,สุดเยียวยา,เพิ่มมากมาย,อันตราย,เกิดง่ายดาย,ง่ายถึงบ้าน
พวกไม้คด,ใช้ได้หมด,ใช้งานได้,อันตราย,เกิดง่ายดาย,ง่ายถึงบ้าน
ดีอยู่ยาก,คนชั่วมาก,กลับอยู่ง่าย,เพราะกฎหมาย,ไม่ศักดิ์สิทธิ์,ฤทธิ์ไม่มี
ที่ลี้ลับ,ที่เคี้ยวคด,พบหมดแล้ว,ลี้ลับแนว,เหลือแต่ใน,ใจของคน
บ้างงดงาม,แต่ภายนอก,หลอกตบตา,ในอุรา,หาได้งาม,สะอาดไม่
เก่งฉลาด,อาจเกียจคร้าน,เสียงานได้,แล้วจะหมาย,ได้ก้าวหน้า,ได้ที่ไหน
วาจาสัตย์,ดัดนิสัย,ให้รางวัล,ช่วยสร้างสรรค์,แบบอย่างดี,มีผู้ตาม
สิ่งเล็กน้อย,ไม่สำคัญ,นั้นอย่าเมิน,อาจพลาดเดิน,ล้มลงนอน,เพราะก้อนหิน
พยายาม,ตามหาดาว,มากเท่าใด,ล้วนจบไป,ในความเยือก,เย็นว่างเปล่า
คนหยาบคาย,หรือจะได้,คู่ครองใกล้,คนหนีไกล,ไม่เหลือแม้,ญาติและมิตร
แปลผิวกาย,รักษาได้,เวลาสั้น,แผลในใจ,ลึกฝังราก,ยากรักษา
บทเรียนใด,ไม่จดจำ,ย่อมลืมเลือน,ใจควรเตือน,อย่าทำเหมือน,สมองรั่ว
เสี่ยงอันตราย,ไม่จำเป็น,เป็นผลร้าย,เหมือนยอมตาย,ให้มารร้าย,เพราะความเขลา
ดัดนิสัย,ของตนได้,ไม่ง่ายนัก,จงตระหนัก,รักกรรมดี,หนีกรรมชั่ว
เลิศปัญญา,ทุ่มศึกษา,อวกาศ,มิอาจหนี,ยามที่แก่,ป่วยและตาย
คิดวิธี,แก้หลายทาง,อย่างฉลาด,ปัญหาอาจ,ง่ายเกินคาด,หลังจากลอง
ถ้าผู้ใด,ไม่โป้ปปด,เป็นนิสัย,เจริญไว,ใครต่อใคร,ให้แต่รัก
ผู้สุขศรี,บนโลกนี้,คือพวกไหน,พวกที่ไร้,กฏระเบียบใด,บีบบังคับ
มากอำนาจ,แต่บาตรใหญ่,ใจเป็นพาล,ล้วนแล้วผลาญ,ผลดีไป,ส่วนใหญ่ชัง
ใฝ่กระทำ,นำมนุษย์,สุดวิจิตร,สิ่งประดิษฐ์,เกินคาดคิด,ยิ่งมากมี
พวกเศรษฐี,มีบ้างไหม,แบบอย่างเลิศ,ช่วยก่อเกิด,การพิทักษ์,รักษาโลก
มากโลภา,พวกราชา,พวกสงฆ์มี,ของดีดี,ยิ่งถวาย,ยิ่งหมายเอา
พวกมั่งมี,ตัวอย่างดี,มีบ้างไหม,ที่มั่งมี,ให้การช่วย,พวกยากจน
ไม่มุ่งหมาย,สำเร็จได้,ก็มากมี,เหมือนวิถี,มีหลากหลาย,สู่ปลายทาง
เลิศสติ,มีโกรธตอบ,ผู้โกรธา,ย่อมมีค่า,ให้แก่ตน,และคนโกรธ
คมดาบใด,ไหนจะเทียบ,คนชิวหา,สั่งเข่าฆ่า,ชักนำพา,กี่สงคราม
วาจาเป็น,เช่นเครื่องมือ,สื่อจากใจ,รองลงไป,คือกายา,มาร่วมสื่อ
สิ้นสุดไป,ในตัวเอง,ของทุกอย่าง,มิอาจย่าง,หนีห่างไกล,สุญญตา
คนคดมี,น้ำใจดี,ได้ที่ไหน,คับแคบใจ,คอยฝักใฝ่,การเอาเปรียบ
ซื้อสิ่งใด,ไปขายได้,เพื่อกำไร,ถ้ามากไป,ให้แบบอย่าง,มารสูบเลือด
ด้อยปัญญา,ถ้าหมั่นเพียร,ยังดีกว่า,ดีปัญญา,หาเพียรไม่,ไร้ค่าตน
มีงานน้อย,แต่คอยทำ,บ่อยบ่อยได้,เพิ่มความหมาย,คงได้ดี,สักวันหนึ่ง
ถ้าตามใจ,คนใจคด,หมดสุขแน่,ความทุกข์แด,ตามเย้ยเยาะ,เพราะคิดผิด
แข่งกันเลิศ,ประเสริฐศรี,ทางปัญญา,สุญญตา,รอข้างหน้า,ของทุกชีพ
ยิ่งแผ่ไป,พุทธยิ่งไกล,จากแก่นธรรม,มากเงื่อนงำ,นำการหา,ผลประโยชน์
ทั้งกายา,วาจาใจ,ใช้ร่วมกัน,สุดสำคัญ,ก็คือใจ,นายใหญ่สุด
เขลาดีกว่า,ถูกตราหน้า,ว่าขี้โกง,ชั่วสุดโต่ง,พวกเก่งโกง,เอาเปรียบเขา
ทะเลาะกัน,นั้นเท่ากับ,บั่นชีวี,ทำสิ่งดี,ที่สร้างสรรค์,กันดีกว่า
คนส่วนใหญ่,ไยเป็นทาส,ของศรัทธา,บอดใจตา,เสียชีวา,แทนก็ยอม
แบบอย่างดี,มีบ้างไหม,สื่อมวลชน,สื่อให้คน,แยบยลรักษ์,สิ่งแวดล้อม
มนุสสา,ปัญญาเหนือ,สัตว์ใดใด,ควรยกใจ,ไม่เป็นทาส,สัตว์สมมุติ
พวกสงคราม,สะท้อนความ,เห็นแก่ตัว,พวกกลุ่มชั่ว,มัวเมาหลง,บ้าอำนาจ
มือและเท้า,เจ้าใดใด,เทียบไม่ได้,สำเร็จสบาย,ถ้ามุ่งหมาย,ได้พึ่งตน
สร้างความดี,ทีละน้อย,พลอยเต็มเปี่ยม,แบบอย่างเตรียม,เพื่อใครใคร,ใฝ่ทำตาม
เป็นผู้ให้,ใครต่อใคร,มักให้ตอบ,ให้ในกรอบ,ความชอบธรรม,นำสุขศรี
นักการเมือง,มักประเทือง,เรื่องมุสา,เก่งชิวหา,พาความจริง,ให้หายไป
ค่อยค่อยเปลี่ยน,ทีละน้อย,ค่อยค่อยคิด,เปลี่ยนชีวิต,และความคิด,อย่างฉับพลัน
ทะเยอทะยาน,เหนือน่านฟ้า,อวกาศ,แต่มิอาจ,คาดอยู่เหนือ,อนัตตา
คิดสิ่งใด,ไร้ประโยชน์,ก็อย่าคิด,ควรฝึกจิต,ให้นิ่งเย็น,เป็นนิพพาน
พวกต้นไม้,ผลัดใบได้,ต่างจากคน,เพราะไม่สน,ผลัดความชั่ว,ให้ตัวเอง
บ้างมองสั้น,รั้นไม่พ้น,ปล่อยจมูก,ผิดหรือถูก,ควรหรือไม่,ตาไม่เห็น
ครอบครัวใคร,ทะเลาะกัน,อย่ารั้นขวาง,อาจเป็นทาง,สู่เหตุร้าย,ได้เช่นกัน
อุปโลก,บุญกุศล,ผลบาปกรรม,เพื่อชี้นำ,ใครใครทำ,แต่กรรมดี
พระทั้งหลาย,ได้อ้างเป็น,ศิษย์คงค์พุทธ,แต่แปลกสุด,ไม่หลุดพ้น,เงาของพราหมณ์
มองปัญหา,เป็นเรื่องใหญ่,ใจยิ่งทุกข์,ฝึกสนุก,คิดว่าเป็น,เช่นบทเรียน
ไร้สัจจา,ยิ่งพาให้,ใครใครเกลียด,ยิ่งเบียดเบียน,ตัวเองได้,และหลายคน
กลัวรักหรือ,คือพวกที่,ไร้ชีวา,กลัวชะตา,คือผู้ตาย,ไปหลายส่วน
พวกไม่ทำ,บาปกรรมใด,ใจย่อมสูง,เหมือนนกยูง,อยู่ยอดไม้,มากมายชม
ทั้งนรก,และสวรรค์,นั้นในใจ,เปลี่ยนมาไป,โดยนิสัย,ใจของตน
ภัยธรรมชาติ,อาจยิ่งมา,พร่าชีวิต,ก่อวิกฤติ,ตอบพิษร้าย,ที่คนก่อ
พวกปลาใหญ่,ไม่ระวัง,ตายน้ำตื้น,มัวระรื่น,จึงประมาท,ถึงฆาตง่าย
ถ้าเลี้ยงหมา,สร้างปัญหา,สิ่งแวดล้อม,ไม่ถนอม,ความสะอาด,ขาดความคิด
พวกพระเจ้า,มีมากมาย,ได้อย่างไร,มนุษย์ส่วนใหญ่,ไม่ต่างจาก,พวกนักขอ
เรียนเพื่อรู้,เพื่อไปสู่,ขั้นสากล,รวบรวมผล,เพื่อพัฒนา,พาชาติรุ่ง
ความสุขใด,ไหนเท่าการ,เป็นที่รัก,เหมือนเพ็ญพักตร์,คนย่อมรัก,มองชื่นชม
ยึดมั่นได้,แม้สักราย,ได้จริงหรือ,ทุกชีพคือ,สิ่งสูญไป,ในความว่าง
ระบายทุกข์,กับใครใคร,ไม่ควรซ้ำ,ความระกำ,ช้ำใจทุกข์,เขาก็มี
เก่งไร้ค่า,ถ้ามองข้าม,เรื่องจาคะ,เสียสละ,เพื่อส่วนใหญ่,ใจสูงกว่า
ถ้าทำใจ,ให้ท้อแท้,พ่ายแพ้ง่าย,ความเสียหาย,เกิดกับตน,และผลงาน
พวกค้าขาย,สิ่งเดียวกัน,แข่งกันสู้,เป็นศัตรู,เกลีดกันมาก,หายอยู่ใกล้
ดูสตรี,มีความสวย,ดูอย่างไร,ดูจิตใจ,ดูนิสัย,ภูมิปัญญา
ความพยายาม,ช่วยตามฆ่า,ความทุกข์ยาก,ความลำบาก,ถูกพรากได้,ด้วยความเพียร
ทั้งเหล็กกล้า,พายุร้าย,และคลื่นใหญ่,แกร่งใดใด,ไม่กล้าแข็ง,เท่าใจคน
ใครนินทา,ด่าเหยียดเรา,ช่างเขาเถิด,คนล้วนเกิด,ที่ต่างกัน,พันธุ์ต่ำสูง
นำทุกข์ใจ,ไปทับถม,เขาทำไม,ควรปลอบใจ,ให้ตัวเอง,ก่อนแหล่ะดี
สุดวิสัย,ไปควบคุม,สิ่งใดได้,จงคลี่คลาย,ปล่อยวางไป,ให้สิ้นทุกข์
ทำอะไร,ไม่ควรเสร็จ,แค่ครึ่งกลาง,คนจะอ้าง,อย่าเอาอย่าง,พวกหางด้วย
ภรรยา,และสามี,เหมือนสหาย,ร่วมรายได้,ร่วมรายจ่าย,ร่วมทุกข์สุข
แสดงออก,ความกล้าหาญ,ผลาญความกลัว,ประพฤติตัว,หยุดความกลัว,ด้วยปัญญา
พวกสัตว์ป่า,น่าสงสาร,พรานผลาญพราก,พวกมักมาก,แข่งกันล่า,เพื่อค้าขาย
หมาจนตรอก,บ่งบอกถึง,อันตราย,สู้ถึงตาย,ทำร้ายผู้,เข้าใกล้มัน
หลายปักษา,ช่วยโลกา,สวยสดใส,ใครต่อใคร,ทำไมเบียด,เบียนปักษา
ทุกแหล่งหล้า,แย่งไขว่คว้า,แย่งหากิน,แย่งที่คิด,จนเกือบสิ้น,ที่อาศัย
คนคุ้นเคย,สนิทใจ,ไม่น่าหวั่น,ถ้าคบกัน,เหมือนญาติกัน,ปันทุกข์สุข
พวกคุยโม้,โทรบ่อยเกิน,น่าเบื่อนัก,ควรตระหนัก,ผู้รำคาญ,รอบด้านตน
เขาไม่รัก,จักบังคับ,เขาไม่ได้,ยามถึงตาย,ห้ามใครได้,ที่ไหนกัน
ใครต่อใคร,ใจมีทุกข์,เหมือนกันเรา,อย่ามัวเฝ้า,ปรึกษาเขา,เมื่อเราทุกข์
คนที่มี,เหตุผลดี,น่ารู้จัก,เขาตระหนัก,รู้จักใช้,ให้แบบอย่าง
ความน้อยใจ,เป็นภัยต่อ,หลายฝ่ายได้,ฆ่าตัวตาย,ทำลายเขา,ก็มากมี
ความคิดน้อย,พลอยเป็นคน,ชอบพูดมาก,ไม่กระดาก,ยิ่งพูดมาก,ยิ่งคิดน้อย
การไม่ตรง,ต่อเวลา,พามลทิน,แม้ตงฉิน,ชื่อเสียงดัง,ดี่งดารา
อะนาคอนด้า,ปรารถนา,จะกลืนช้าง,เป็นแบบอย่าง,กระหายใคร,ภัยถึงตาย
ถ้าเหนื่อยใจ,ยิ่งทำให้,หมดแรงกาย,ใจเหมือนนาย,บ่าวคือกาย,ได้หลายอย่าง
เขาเล่ามา,ว่าอย่างนั้น,ว่าอย่างนี้,คิดอีกที,อาจจะมี,มูลความจริง
ไม่กล้าทำ,เพราะอาจนำ,ความผิดหวัง,ยิ่งปลูกฝัง,การผัดวัน,ประกันพรุ่ง
กฏธรรมชาติ,มีอำนาจ,ผลักดันไป,โลกใดใด,เทพใดใด,ไม่อาจต้าน
เป็นตัวอย่าง,ดีไม่ได้,ผลร้ายมี,แบบร้ายนี้,ดีที่ใช้,เป็นสิ่งเตือน
ลูกทั้งหลาย,พ่อแม่หมาย,ที่ฝากฝัง,ฝากความหวัง,ให้ดูแล,ยามแก่เฒ่า
มิตรจริงแท้,ย่อมแน่นอน,และคบนาน,เพื่อนคนพาล,คบไม่นาน,ผลาญคุณค่า
ผู้เรียนนิยม,ล้วนสร้างผม,ดตามใจตน,ยิ่งไม่พ้น,อวิชชา,มาครอบงำ
กองทัพดี,เพราะมีทรัพย์,กำกับให้,กำลังใจ,และปัญญา,พาแข็งแกร่ง
สกุณา,นำเพลงมา,ประโลมโลก,วิปโยค,กระทบโลก,คนล้วนก่อ
นับถือกัน,นั้นช่วยรัก,ภักดีนาน,ช่วยต่อสาร,โซ่คล้องใจ,ให้แกร่งยิ่ง
มารดาเป็น,เช่นแม่บ้าน,มิตรประจำ,คอยกระทำ,พวกงานบ้าน,และการครัว
มุ่งทำสิ่ง,เป็นไปไม่ได้,ผลร้ายมา,คนรุมว่า,น่าขบขัน,จิตฟั่นเฟือน
ความยึดมั่น,นั่นแหล่ะกอด,ความทุกข์ไว้,จับคว้าไขว่,สิ่งใดได้,มิได้นาน
โปรดยกใจ,ให้สูงขึ้น,เหนือโลกา,มองลงมา,ย่อมเห็นว่า,โลกป่วยหนัก
มีกี่บ้าน,ถูกไฟผลาญ,เพราะจุดธูป,ปฏิรูป,ประเพณี,ก่อนดีไหม
ดัดเหล็กได้,หลายรูปแบบ,โดยใช้ไฟ,เหตุไฉน,ใจของคน,กล้าแข็วกว่า
นกสวยสี,โชคไม่ดี,ล้วนถูกขัง,นกน่าชัง,กลับโชคดี,เสรีสุด
ดาราละคร,สะท้อนเป็น,นักหลอกลวง,แต่หมดห่วง,เป็นนักลวง,สุดซื่อสัตย์
ในความฝัน,และความรัก,อย่ามักมาก,กลับวิบาก,หากสุดโต่ง,ไม่พอดี
อกุศล,ทำให้คน,เสียนิสัย,บ้างเป็นภัย,บ้างเป็นพาล,ผลาญส่วนรวม
เลียนแบบเขา,ชอบตามเงา,เป็นนิสัย,แล้วเมื่อไร,คิดใหม่ได้,ด้วยตนเอง
หิริโอตัปปะ,ช่วยละชั่ว,เตือนตัวได้,ให้ละอาย,ก่อนกระทำ,กรรมชั่วใด
ความยึดมั่น,และคถือมั่น,บั่นความสุข,แม่เคยทุกข์,มามากมาย,ยังหมายทำ
อิสรา,ถ้าเกินไป,ไร้เหตุผล,มีหลายคน,ประฌามได้,ผลร้ายคืน
ควกคนชั่ว,เกลียดและกลัว,พวกนักปราชญ์,เพราะเปรื่องปราด,ช่วยราษฎร์ให้,เกิดปัญญา
สิ่งแวดล้อม,เราถนอม,เปลี่ยนแปลงได้,และมุ่งหมาย,เปลี่ยนตนได้,ในทางดี
ยุงชั่วช้า,นำโรคมา,ฆ่าผู้คน,หลายเผ่าชน,เป็นต้นเหตุ,โลกวิบัติ
เจ้าปัญญา,สงวนท่าที,ที่นิ่งเฉย,แม้คำเอ่ย,แทบไม่เผย,ออกจากใจ
ธรรมชาติ,คืนวินาศ,ให้มนุษย์,ผู้ไม่หยุด,การรุกล้ำ,ธรรมชาติ
ความสว่าง,ความกระจ่าง,ทางเหตุผล,ช่วยให้ดล,ยุติธรรม,นำตัดสิน
มีหลายราย,ตายเพราะถูก,ทรัพย์สินกัด,มากสมบัติ,กัดเต้าของ,เมื่อโจรปล้น
ท้าพนัน,นั้นพวกเขลา,ใช้โต้เถียง,ควรหลักเลี่ยง,และใช้ทาง,อย่างพวกปราชญ์
ทุกข์ใดใด,พาใจเจ็บ,ก็ลืมง่าย,จนวันตาย,ได้พลาดซ้ำ,ไม่เข็ดเลย
ซัพน้ำตา,ใก้โลกา,ที่สะอื้น,มิอาจคืน,กาลเวลา,ที่พร่าโลก
อย่าเอาใจ,ไปเกาะเกี่ยว,กับสิ่งใด,ไม่รักใคร,ไม่เกลียดใคร,ไร้ทุกข์เอย
ชอบฟุ้งซ่าน,ด้านความคิด,จิตวุ่นวาย,จนวันตาย,ไม่ได้คิด,สิ่งสร้างสรรค์
ผิดเป็นถูก,ถูกเป็นผิด,วิกฤตได้,เพราะทำลาย,ยุติธรรม,นำตัดสิน
ไม่เสียหาย,ถ้าได้ทำ,ดีเท่าเพื่อน,ใจควรเตือน,ดูถูกเพื่อน,สิกลับเลว
พวกเศร้าใจ,ไม่คุ้นเคย,ความผันแปร,ใจแน่วแน่,ถ่องแท้คุ้น,โลกแปรผัน
โฆษณา,ยกอัตตา,อย่างทุ่มเท,ล้วนแฝงเล่ห์,ทุ่มกรรมดี,มีผลคืน
โลกนี้คือ,โลกมายา,มาครอบไว้,ยากหาใคร,ไม่เป็นเหยื่อ,สิ่งมายา
ให้อภัย,ใจตนบ้าง,และผู้อื่น,ย่อมสดชื่น,สงบสุข,หมดทุกข์แด
ชอบเล่นไพ่,หมดตัวไป,กลับไม่กลัว,ยิ่งปล่อยตัว,เสียกี่ครา,พาฉิบหาย
ความเจ็บปวด,มักสอนให้,ใครใครคิด,แยกถูกผิด,ช่วยให้คิด,ฉลาดขึ้น
ควรทำใจ,ให้เป็นกลาง,อย่างผู้รู้,และเป็นครู,สอนรับรู้,ความแตกต่าง
อับถ้อยคำ,หรือจะนำ,สื่อความคิด,ทุกทางทิศ,อาศัยคำ,นำความรู้
บัวไม่จม,ตามโคลนตม,แหล่งเกิดมา,แสดงว่า,ประเสริฐดี,ศรีประเสริฐ
บ้าอย่างนั้น,บ้าอย่างนี้,มีเรื่อยไป,แล้วเมื่อใด,ใจเลิกหลง,สิ่งมัวเมา
สิ่งบังเอิญ,ในโลกนี้,มีมากมาย,อย่างมงาย,โชคชะตา,ปาฏิหาริย์
ปลูกต้นไม้,ได้ปันรัก,ผู้อื่นด้วย,มิอาจช่วย,ให้ร่มรื่น,คืนท้องถิ่น
บัณฑิตดี,มีใจช่วย,เป็นใหญ่ได้,เก่งมุ่งหมาย,คลายความทุกข์,ของชุมชน
เมื่อชนะ,หรือเราแพ้,เป็นแค่เกมส์,อย่าเกษม,สิ่งมายา,พาทุกข์แด
สุขอื่นใด,ไม่เทียบเท่า,ความสงบ,ใช้ประกบ,ความสะอาด,เป็นปราชญ์เทอญ
จงเดินทาง,แสวงหา,ทั่วหล้าก่อน,จังสะท้อน,คำตอบมา,หาเราเอง
จิตอิสระ,ผละจากโซ่,จากทุกบ่วง,ไม่ถูกลวง,หน่วงรั้งโดย,โลกมายา
เมื่อทำดี,มีผลช้า,กว่าทำชั่ว,พึงเตือนตัว,ทำดีไว้,ใครใครรัก
เมื่อรักงาน,ที่ท่านเกลียด,ไม่เบียดตน,ควรเป็นคน,รักทุกงาน,ด้วยสร้างสรรค์
เวลาบิน,โผผินไป,ไวนักแล,โลกแปรผัน,ไม่แน่นอน,และรวดเร็ว
คนประเสริฐ,เกิดเป็นนาย,ของเงินตรา,คนชั่วช้า,เกิดมาเป็น,ทาสของเงิน
ถูกปลูกฝัง,คำสอนผิด,ติดกันมา,เช่นนั้นนา,โลกมายา,ครอบงำมิด
อย่าไว้ใจ,คนแปลกหน้า,ผู้มาเยือน,เขาอาจเหมือน,ปีศาจร้าย,ในกายคน
ทำบาปไว้,ให้ได้มา,ซึ่งผลลาภ,เช่นไหว้กราบ,ด้วยเนื้อสัตว์,ตัดชีวิต
การให้เปล่า,แต่ระคราว,บริสุทธิ์ไหม,เพราะส่วนใหญ่,ใจหมกมุ่น,การตอบแทน
